Municipios;Sexo;Periodo;Total
25045 Bausen;Total;2022;66
25045 Bausen;Total;2021;66
25045 Bausen;Total;2020;60
25045 Bausen;Total;2019;58
25045 Bausen;Total;2018;64
25045 Bausen;Total;2017;67
25045 Bausen;Total;2016;64
25045 Bausen;Total;2015;58
25046 Belianes;Total;2022;508
25046 Belianes;Total;2021;521
25046 Belianes;Total;2020;520
25046 Belianes;Total;2019;525
25046 Belianes;Total;2018;525
25046 Belianes;Total;2017;519
25046 Belianes;Total;2016;539
25046 Belianes;Total;2015;555
25170 Bellaguarda;Total;2022;288
25170 Bellaguarda;Total;2021;292
25170 Bellaguarda;Total;2020;287
25170 Bellaguarda;Total;2019;287
25170 Bellaguarda;Total;2018;301
25170 Bellaguarda;Total;2017;305
25170 Bellaguarda;Total;2016;307
25170 Bellaguarda;Total;2015;308
25047 Bellcaire d'Urgell;Total;2022;1.229
25047 Bellcaire d'Urgell;Total;2021;1.225
25047 Bellcaire d'Urgell;Total;2020;1.199
25047 Bellcaire d'Urgell;Total;2019;1.230
25047 Bellcaire d'Urgell;Total;2018;1.252
25047 Bellcaire d'Urgell;Total;2017;1.237
25047 Bellcaire d'Urgell;Total;2016;1.263
25047 Bellcaire d'Urgell;Total;2015;1.296
25048 Bell-lloc d'Urgell;Total;2022;2.342
25048 Bell-lloc d'Urgell;Total;2021;2.329
25048 Bell-lloc d'Urgell;Total;2020;2.335
25048 Bell-lloc d'Urgell;Total;2019;2.315
25048 Bell-lloc d'Urgell;Total;2018;2.289
25048 Bell-lloc d'Urgell;Total;2017;2.321
25048 Bell-lloc d'Urgell;Total;2016;2.349
25048 Bell-lloc d'Urgell;Total;2015;2.329
25049 Bellmunt d'Urgell;Total;2022;178
25049 Bellmunt d'Urgell;Total;2021;182
25049 Bellmunt d'Urgell;Total;2020;185
25049 Bellmunt d'Urgell;Total;2019;185
25049 Bellmunt d'Urgell;Total;2018;193
25049 Bellmunt d'Urgell;Total;2017;188
25049 Bellmunt d'Urgell;Total;2016;188
25049 Bellmunt d'Urgell;Total;2015;188
25050 Bellpuig;Total;2022;5.168
25050 Bellpuig;Total;2021;5.151
25050 Bellpuig;Total;2020;5.218
25050 Bellpuig;Total;2019;5.133
25050 Bellpuig;Total;2018;5.060
25050 Bellpuig;Total;2017;4.985
25050 Bellpuig;Total;2016;5.005
25050 Bellpuig;Total;2015;4.989
25051 Bellver de Cerdanya;Total;2022;2.176
25051 Bellver de Cerdanya;Total;2021;2.135
25051 Bellver de Cerdanya;Total;2020;2.005
25051 Bellver de Cerdanya;Total;2019;1.937
25051 Bellver de Cerdanya;Total;2018;1.979
25051 Bellver de Cerdanya;Total;2017;1.973
25051 Bellver de Cerdanya;Total;2016;1.995
25051 Bellver de Cerdanya;Total;2015;2.028
25052 Bellvís;Total;2022;2.243
25052 Bellvís;Total;2021;2.258
25052 Bellvís;Total;2020;2.260
25052 Bellvís;Total;2019;2.255
25052 Bellvís;Total;2018;2.266
25052 Bellvís;Total;2017;2.276
25052 Bellvís;Total;2016;2.264
25052 Bellvís;Total;2015;2.270
25053 Benavent de Segrià;Total;2022;1.563
25053 Benavent de Segrià;Total;2021;1.533
25053 Benavent de Segrià;Total;2020;1.518
25053 Benavent de Segrià;Total;2019;1.499
25053 Benavent de Segrià;Total;2018;1.468
25053 Benavent de Segrià;Total;2017;1.442
25053 Benavent de Segrià;Total;2016;1.482
25053 Benavent de Segrià;Total;2015;1.506
25055 Biosca;Total;2022;182
25055 Biosca;Total;2021;178
25055 Biosca;Total;2020;177
25055 Biosca;Total;2019;176
25055 Biosca;Total;2018;181
25055 Biosca;Total;2017;186
25055 Biosca;Total;2016;187
25055 Biosca;Total;2015;199
25057 Bòrdes, Es;Total;2022;282
25057 Bòrdes, Es;Total;2021;285
25057 Bòrdes, Es;Total;2020;255
25057 Bòrdes, Es;Total;2019;259
25057 Bòrdes, Es;Total;2018;266
25057 Bòrdes, Es;Total;2017;252
25057 Bòrdes, Es;Total;2016;250
25057 Bòrdes, Es;Total;2015;237
25058 Borges Blanques, Les;Total;2022;6.248
25058 Borges Blanques, Les;Total;2021;6.195
25058 Borges Blanques, Les;Total;2020;6.173
25058 Borges Blanques, Les;Total;2019;6.087
25058 Borges Blanques, Les;Total;2018;6.002
25058 Borges Blanques, Les;Total;2017;6.005
25058 Borges Blanques, Les;Total;2016;6.000
25058 Borges Blanques, Les;Total;2015;6.019
25059 Bossòst;Total;2022;1.121
25059 Bossòst;Total;2021;1.120
25059 Bossòst;Total;2020;1.115
25059 Bossòst;Total;2019;1.109
25059 Bossòst;Total;2018;1.110
25059 Bossòst;Total;2017;1.120
25059 Bossòst;Total;2016;1.123
25059 Bossòst;Total;2015;1.137
25056 Bovera;Total;2022;263
25056 Bovera;Total;2021;261
25056 Bovera;Total;2020;248
25056 Bovera;Total;2019;247
25056 Bovera;Total;2018;257
25056 Bovera;Total;2017;266
25056 Bovera;Total;2016;267
25056 Bovera;Total;2015;275
25060 Cabanabona;Total;2022;62
25060 Cabanabona;Total;2021;60
25060 Cabanabona;Total;2020;71
25060 Cabanabona;Total;2019;75
25060 Cabanabona;Total;2018;76
25060 Cabanabona;Total;2017;81
25060 Cabanabona;Total;2016;77
25060 Cabanabona;Total;2015;82
25061 Cabó;Total;2022;98
25061 Cabó;Total;2021;94
25061 Cabó;Total;2020;93
25061 Cabó;Total;2019;92
25061 Cabó;Total;2018;97
25061 Cabó;Total;2017;93
25061 Cabó;Total;2016;92
25061 Cabó;Total;2015;94
25062 Camarasa;Total;2022;786
25062 Camarasa;Total;2021;807
25062 Camarasa;Total;2020;810
25062 Camarasa;Total;2019;817
25062 Camarasa;Total;2018;842
25062 Camarasa;Total;2017;863
25062 Camarasa;Total;2016;879
25062 Camarasa;Total;2015;903
25063 Canejan;Total;2022;92
25063 Canejan;Total;2021;89
25063 Canejan;Total;2020;89
25063 Canejan;Total;2019;107
25063 Canejan;Total;2018;84
25063 Canejan;Total;2017;88
25063 Canejan;Total;2016;97
25063 Canejan;Total;2015;100
25904 Castell de Mur;Total;2022;171
25904 Castell de Mur;Total;2021;169
25904 Castell de Mur;Total;2020;173
25904 Castell de Mur;Total;2019;183
25904 Castell de Mur;Total;2018;165
25904 Castell de Mur;Total;2017;168
25904 Castell de Mur;Total;2016;175
25904 Castell de Mur;Total;2015;188
25064 Castellar de la Ribera;Total;2022;135
25064 Castellar de la Ribera;Total;2021;136
25064 Castellar de la Ribera;Total;2020;131
25064 Castellar de la Ribera;Total;2019;134
25064 Castellar de la Ribera;Total;2018;137
25064 Castellar de la Ribera;Total;2017;140
25064 Castellar de la Ribera;Total;2016;142
25064 Castellar de la Ribera;Total;2015;150
25067 Castelldans;Total;2022;895
25067 Castelldans;Total;2021;900
25067 Castelldans;Total;2020;930
25067 Castelldans;Total;2019;960
25067 Castelldans;Total;2018;931
25067 Castelldans;Total;2017;943
25067 Castelldans;Total;2016;958
25067 Castelldans;Total;2015;981
25068 Castellnou de Seana;Total;2022;715
25068 Castellnou de Seana;Total;2021;692
25068 Castellnou de Seana;Total;2020;665
25068 Castellnou de Seana;Total;2019;683
25068 Castellnou de Seana;Total;2018;687
