Municipios;Sexo;Periodo;Total
08056 Castelldefels;Total;2019;67.004
08056 Castelldefels;Total;2018;66.375
08056 Castelldefels;Total;2017;65.954
08056 Castelldefels;Total;2016;64.892
08056 Castelldefels;Total;2015;63.891
08058 Castellet i la Gornal;Total;2022;2.474
08058 Castellet i la Gornal;Total;2021;2.452
08058 Castellet i la Gornal;Total;2020;2.382
08058 Castellet i la Gornal;Total;2019;2.292
08058 Castellet i la Gornal;Total;2018;2.247
08058 Castellet i la Gornal;Total;2017;2.233
08058 Castellet i la Gornal;Total;2016;2.193
08058 Castellet i la Gornal;Total;2015;2.212
08060 Castellfollit de Riubregós;Total;2022;159
08060 Castellfollit de Riubregós;Total;2021;163
08060 Castellfollit de Riubregós;Total;2020;162
08060 Castellfollit de Riubregós;Total;2019;151
08060 Castellfollit de Riubregós;Total;2018;156
08060 Castellfollit de Riubregós;Total;2017;160
08060 Castellfollit de Riubregós;Total;2016;165
08060 Castellfollit de Riubregós;Total;2015;167
08059 Castellfollit del Boix;Total;2022;460
08059 Castellfollit del Boix;Total;2021;448
08059 Castellfollit del Boix;Total;2020;447
08059 Castellfollit del Boix;Total;2019;436
08059 Castellfollit del Boix;Total;2018;446
08059 Castellfollit del Boix;Total;2017;440
08059 Castellfollit del Boix;Total;2016;448
08059 Castellfollit del Boix;Total;2015;434
08061 Castellgalí;Total;2022;2.236
08061 Castellgalí;Total;2021;2.179
08061 Castellgalí;Total;2020;2.119
08061 Castellgalí;Total;2019;2.062
08061 Castellgalí;Total;2018;2.053
08061 Castellgalí;Total;2017;2.017
08061 Castellgalí;Total;2016;1.995
08061 Castellgalí;Total;2015;1.996
08062 Castellnou de Bages;Total;2022;1.431
08062 Castellnou de Bages;Total;2021;1.420
08062 Castellnou de Bages;Total;2020;1.437
08062 Castellnou de Bages;Total;2019;1.397
08062 Castellnou de Bages;Total;2018;1.319
08062 Castellnou de Bages;Total;2017;1.303
08062 Castellnou de Bages;Total;2016;1.287
08062 Castellnou de Bages;Total;2015;1.266
08063 Castellolí;Total;2022;636
08063 Castellolí;Total;2021;653
08063 Castellolí;Total;2020;626
08063 Castellolí;Total;2019;619
08063 Castellolí;Total;2018;610
08063 Castellolí;Total;2017;599
08063 Castellolí;Total;2016;573
08063 Castellolí;Total;2015;574
08064 Castellterçol;Total;2022;2.655
08064 Castellterçol;Total;2021;2.632
08064 Castellterçol;Total;2020;2.548
08064 Castellterçol;Total;2019;2.463
08064 Castellterçol;Total;2018;2.418
08064 Castellterçol;Total;2017;2.374
08064 Castellterçol;Total;2016;2.351
08064 Castellterçol;Total;2015;2.368
08065 Castellví de la Marca;Total;2022;1.614
08065 Castellví de la Marca;Total;2021;1.597
08065 Castellví de la Marca;Total;2020;1.575
08065 Castellví de la Marca;Total;2019;1.535
08065 Castellví de la Marca;Total;2018;1.534
08065 Castellví de la Marca;Total;2017;1.554
08065 Castellví de la Marca;Total;2016;1.545
08065 Castellví de la Marca;Total;2015;1.540
08066 Castellví de Rosanes;Total;2022;2.096
08066 Castellví de Rosanes;Total;2021;1.996
08066 Castellví de Rosanes;Total;2020;1.933
08066 Castellví de Rosanes;Total;2019;1.884
08066 Castellví de Rosanes;Total;2018;1.865
08066 Castellví de Rosanes;Total;2017;1.826
08066 Castellví de Rosanes;Total;2016;1.807
08066 Castellví de Rosanes;Total;2015;1.771
08067 Centelles;Total;2022;7.641
08067 Centelles;Total;2021;7.595
08067 Centelles;Total;2020;7.513
08067 Centelles;Total;2019;7.404
08067 Centelles;Total;2018;7.423
08067 Centelles;Total;2017;7.417
08067 Centelles;Total;2016;7.410
08067 Centelles;Total;2015;7.372
08268 Cercs;Total;2022;1.169
08268 Cercs;Total;2021;1.190
08268 Cercs;Total;2020;1.150
08268 Cercs;Total;2019;1.145
08268 Cercs;Total;2018;1.152
08268 Cercs;Total;2017;1.166
08268 Cercs;Total;2016;1.183
08268 Cercs;Total;2015;1.209
08266 Cerdanyola del Vallès;Total;2022;57.291
08266 Cerdanyola del Vallès;Total;2021;57.217
08266 Cerdanyola del Vallès;Total;2020;57.855
08266 Cerdanyola del Vallès;Total;2019;57.403
08266 Cerdanyola del Vallès;Total;2018;57.740
08266 Cerdanyola del Vallès;Total;2017;57.723
08266 Cerdanyola del Vallès;Total;2016;57.543
08266 Cerdanyola del Vallès;Total;2015;57.413
08068 Cervelló;Total;2022;9.307
08068 Cervelló;Total;2021;9.233
08068 Cervelló;Total;2020;9.077
08068 Cervelló;Total;2019;9.054
08068 Cervelló;Total;2018;8.970
08068 Cervelló;Total;2017;8.909
08068 Cervelló;Total;2016;8.861
08068 Cervelló;Total;2015;8.851
08069 Collbató;Total;2022;4.726
08069 Collbató;Total;2021;4.655
08069 Collbató;Total;2020;4.544
08069 Collbató;Total;2019;4.466
08069 Collbató;Total;2018;4.458
08069 Collbató;Total;2017;4.394
08069 Collbató;Total;2016;4.396
08069 Collbató;Total;2015;4.389
08070 Collsuspina;Total;2022;398
08070 Collsuspina;Total;2021;387
08070 Collsuspina;Total;2020;359
08070 Collsuspina;Total;2019;342
08070 Collsuspina;Total;2018;339
08070 Collsuspina;Total;2017;338
08070 Collsuspina;Total;2016;349
08070 Collsuspina;Total;2015;343
08071 Copons;Total;2022;333
08071 Copons;Total;2021;322
08071 Copons;Total;2020;321
08071 Copons;Total;2019;310
08071 Copons;Total;2018;306
08071 Copons;Total;2017;316
08071 Copons;Total;2016;300
08071 Copons;Total;2015;307
08072 Corbera de Llobregat;Total;2022;15.210
08072 Corbera de Llobregat;Total;2021;15.017
08072 Corbera de Llobregat;Total;2020;14.882
08072 Corbera de Llobregat;Total;2019;14.822
08072 Corbera de Llobregat;Total;2018;14.643
08072 Corbera de Llobregat;Total;2017;14.439
08072 Corbera de Llobregat;Total;2016;14.168
08072 Corbera de Llobregat;Total;2015;14.240
08073 Cornellà de Llobregat;Total;2022;89.039
08073 Cornellà de Llobregat;Total;2021;89.300
08073 Cornellà de Llobregat;Total;2020;89.936
08073 Cornellà de Llobregat;Total;2019;88.592
08073 Cornellà de Llobregat;Total;2018;87.173
08073 Cornellà de Llobregat;Total;2017;86.610
08073 Cornellà de Llobregat;Total;2016;86.072
08073 Cornellà de Llobregat;Total;2015;86.376
08074 Cubelles;Total;2022;16.386
08074 Cubelles;Total;2021;16.051
08074 Cubelles;Total;2020;15.770
08074 Cubelles;Total;2019;15.329
08074 Cubelles;Total;2018;14.992
08074 Cubelles;Total;2017;14.715
08074 Cubelles;Total;2016;14.608
08074 Cubelles;Total;2015;14.420
08075 Dosrius;Total;2022;5.710
08075 Dosrius;Total;2021;5.685
08075 Dosrius;Total;2020;5.652
08075 Dosrius;Total;2019;5.481
08075 Dosrius;Total;2018;5.281
08075 Dosrius;Total;2017;5.198
08075 Dosrius;Total;2016;5.154
08075 Dosrius;Total;2015;5.215
08076 Esparreguera;Total;2022;22.365
08076 Esparreguera;Total;2021;22.358
08076 Esparreguera;Total;2020;22.302
08076 Esparreguera;Total;2019;22.251
08076 Esparreguera;Total;2018;22.045
08076 Esparreguera;Total;2017;21.889
08076 Esparreguera;Total;2016;21.766
08076 Esparreguera;Total;2015;21.701
08077 Esplugues de Llobregat;Total;2022;46.414
08077 Esplugues de Llobregat;Total;2021;46.777
08077 Esplugues de Llobregat;Total;2020;47.150
08077 Esplugues de Llobregat;Total;2019;46.680
08077 Esplugues de Llobregat;Total;2018;46.355
08077 Esplugues de Llobregat;Total;2017;45.890
08077 Esplugues de Llobregat;Total;2016;45.733
08077 Esplugues de Llobregat;Total;2015;45.626
08078 Espunyola, L';Total;2022;265
08078 Espunyola, L';Total;2021;258
08078 Espunyola, L';Total;2020;242
08078 Espunyola, L';Total;2019;254
08078 Espunyola, L';Total;2018;258
08078 Espunyola, L';Total;2017;240
08078 Espunyola, L';Total;2016;247
08078 Espunyola, L';Total;2015;252
08254 Esquirol, L';Total;2022;2.245
08254 Esquirol, L';Total;2021;2.198
08254 Esquirol, L';Total;2020;2.186
08254 Esquirol, L';Total;2019;2.181
08254 Esquirol, L';Total;2018;2.141
08254 Esquirol, L';Total;2017;2.161
08254 Esquirol, L';Total;2016;2.168
08254 Esquirol, L';Total;2015;2.150
08079 Estany, L';Total;2022;391
08079 Estany, L';Total;2021;408
08079 Estany, L';Total;2020;408
08079 Estany, L';Total;2019;406
08079 Estany, L';Total;2018;393
08079 Estany, L';Total;2017;405
08079 Estany, L';Total;2016;404
08079 Estany, L';Total;2015;398
08134 Figaró-Montmany;Total;2022;1.108
08134 Figaró-Montmany;Total;2021;1.127
08134 Figaró-Montmany;Total;2020;1.142
08134 Figaró-Montmany;Total;2019;1.114
08134 Figaró-Montmany;Total;2018;1.109
08134 Figaró-Montmany;Total;2017;1.077
08134 Figaró-Montmany;Total;2016;1.092
08134 Figaró-Montmany;Total;2015;1.094
08080 Fígols;Total;2022;45
08080 Fígols;Total;2021;46
08080 Fígols;Total;2020;43
08080 Fígols;Total;2019;42
08080 Fígols;Total;2018;42
08080 Fígols;Total;2017;42
08080 Fígols;Total;2016;40
08080 Fígols;Total;2015;43
