Municipios;Sexo;Periodo;Total
43046 Conesa;Total;2021;106
43046 Conesa;Total;2020;100
43046 Conesa;Total;2019;103
43046 Conesa;Total;2018;103
43046 Conesa;Total;2017;111
43046 Conesa;Total;2016;116
43046 Conesa;Total;2015;120
43047 Constantí;Total;2022;6.685
43047 Constantí;Total;2021;6.724
43047 Constantí;Total;2020;6.665
43047 Constantí;Total;2019;6.540
43047 Constantí;Total;2018;6.516
43047 Constantí;Total;2017;6.493
43047 Constantí;Total;2016;6.439
43047 Constantí;Total;2015;6.416
43048 Corbera d'Ebre;Total;2022;993
43048 Corbera d'Ebre;Total;2021;981
43048 Corbera d'Ebre;Total;2020;1.003
43048 Corbera d'Ebre;Total;2019;1.016
43048 Corbera d'Ebre;Total;2018;1.023
43048 Corbera d'Ebre;Total;2017;1.061
43048 Corbera d'Ebre;Total;2016;1.080
43048 Corbera d'Ebre;Total;2015;1.095
43049 Cornudella de Montsant;Total;2022;978
43049 Cornudella de Montsant;Total;2021;965
43049 Cornudella de Montsant;Total;2020;944
43049 Cornudella de Montsant;Total;2019;941
43049 Cornudella de Montsant;Total;2018;964
43049 Cornudella de Montsant;Total;2017;953
43049 Cornudella de Montsant;Total;2016;966
43049 Cornudella de Montsant;Total;2015;981
43050 Creixell;Total;2022;3.981
43050 Creixell;Total;2021;3.912
43050 Creixell;Total;2020;3.758
43050 Creixell;Total;2019;3.642
43050 Creixell;Total;2018;3.526
43050 Creixell;Total;2017;3.465
43050 Creixell;Total;2016;3.467
43050 Creixell;Total;2015;3.492
43051 Cunit;Total;2022;14.622
43051 Cunit;Total;2021;14.081
43051 Cunit;Total;2020;13.533
43051 Cunit;Total;2019;12.952
43051 Cunit;Total;2018;12.326
43051 Cunit;Total;2017;12.041
43051 Cunit;Total;2016;11.808
43051 Cunit;Total;2015;11.883
43901 Deltebre;Total;2022;11.656
43901 Deltebre;Total;2021;11.539
43901 Deltebre;Total;2020;11.578
43901 Deltebre;Total;2019;11.482
43901 Deltebre;Total;2018;11.505
43901 Deltebre;Total;2017;11.499
43901 Deltebre;Total;2016;11.544
43901 Deltebre;Total;2015;11.676
43053 Duesaigües;Total;2022;232
43053 Duesaigües;Total;2021;234
43053 Duesaigües;Total;2020;244
43053 Duesaigües;Total;2019;245
43053 Duesaigües;Total;2018;237
43053 Duesaigües;Total;2017;243
43053 Duesaigües;Total;2016;242
43053 Duesaigües;Total;2015;236
43054 Espluga de Francolí, L';Total;2022;3.698
43054 Espluga de Francolí, L';Total;2021;3.717
43054 Espluga de Francolí, L';Total;2020;3.736
43054 Espluga de Francolí, L';Total;2019;3.755
43054 Espluga de Francolí, L';Total;2018;3.742
43054 Espluga de Francolí, L';Total;2017;3.756
43054 Espluga de Francolí, L';Total;2016;3.791
43054 Espluga de Francolí, L';Total;2015;3.818
43055 Falset;Total;2022;2.740
43055 Falset;Total;2021;2.724
43055 Falset;Total;2020;2.735
43055 Falset;Total;2019;2.834
43055 Falset;Total;2018;2.807
43055 Falset;Total;2017;2.820
43055 Falset;Total;2016;2.834
43055 Falset;Total;2015;2.867
43056 Fatarella, La;Total;2022;891
43056 Fatarella, La;Total;2021;917
43056 Fatarella, La;Total;2020;926
43056 Fatarella, La;Total;2019;941
43056 Fatarella, La;Total;2018;965
43056 Fatarella, La;Total;2017;980
43056 Fatarella, La;Total;2016;1.004
43056 Fatarella, La;Total;2015;1.028
43057 Febró, La;Total;2022;39
43057 Febró, La;Total;2021;41
43057 Febró, La;Total;2020;40
43057 Febró, La;Total;2019;40
43057 Febró, La;Total;2018;42
43057 Febró, La;Total;2017;42
43057 Febró, La;Total;2016;40
43057 Febró, La;Total;2015;39
43058 Figuera, La;Total;2022;123
43058 Figuera, La;Total;2021;117
43058 Figuera, La;Total;2020;114
43058 Figuera, La;Total;2019;111
43058 Figuera, La;Total;2018;104
43058 Figuera, La;Total;2017;102
43058 Figuera, La;Total;2016;105
43058 Figuera, La;Total;2015;117
43059 Figuerola del Camp;Total;2022;332
43059 Figuerola del Camp;Total;2021;336
43059 Figuerola del Camp;Total;2020;329
43059 Figuerola del Camp;Total;2019;320
43059 Figuerola del Camp;Total;2018;315
43059 Figuerola del Camp;Total;2017;330
43059 Figuerola del Camp;Total;2016;341
43059 Figuerola del Camp;Total;2015;349
43060 Flix;Total;2022;3.426
43060 Flix;Total;2021;3.451
43060 Flix;Total;2020;3.410
43060 Flix;Total;2019;3.408
43060 Flix;Total;2018;3.491
43060 Flix;Total;2017;3.605
43060 Flix;Total;2016;3.677
43060 Flix;Total;2015;3.754
43061 Forès;Total;2022;48
43061 Forès;Total;2021;48
43061 Forès;Total;2020;43
43061 Forès;Total;2019;43
43061 Forès;Total;2018;42
43061 Forès;Total;2017;45
43061 Forès;Total;2016;47
43061 Forès;Total;2015;51
43062 Freginals;Total;2022;388
43062 Freginals;Total;2021;391
43062 Freginals;Total;2020;385
43062 Freginals;Total;2019;346
43062 Freginals;Total;2018;369
43062 Freginals;Total;2017;397
43062 Freginals;Total;2016;396
43062 Freginals;Total;2015;399
43063 Galera, La;Total;2022;700
43063 Galera, La;Total;2021;723
43063 Galera, La;Total;2020;736
43063 Galera, La;Total;2019;731
43063 Galera, La;Total;2018;719
43063 Galera, La;Total;2017;719
43063 Galera, La;Total;2016;748
43063 Galera, La;Total;2015;770
43064 Gandesa;Total;2022;3.100
43064 Gandesa;Total;2021;3.098
43064 Gandesa;Total;2020;3.096
43064 Gandesa;Total;2019;3.064
43064 Gandesa;Total;2018;3.009
43064 Gandesa;Total;2017;3.011
43064 Gandesa;Total;2016;2.999
43064 Gandesa;Total;2015;3.009
43065 Garcia;Total;2022;527
43065 Garcia;Total;2021;535
43065 Garcia;Total;2020;527
43065 Garcia;Total;2019;527
43065 Garcia;Total;2018;525
43065 Garcia;Total;2017;531
43065 Garcia;Total;2016;601
43065 Garcia;Total;2015;583
43066 Garidells, Els;Total;2022;196
43066 Garidells, Els;Total;2021;198
43066 Garidells, Els;Total;2020;190
43066 Garidells, Els;Total;2019;187
43066 Garidells, Els;Total;2018;201
43066 Garidells, Els;Total;2017;194
43066 Garidells, Els;Total;2016;193
43066 Garidells, Els;Total;2015;188
43067 Ginestar;Total;2022;790
43067 Ginestar;Total;2021;787
43067 Ginestar;Total;2020;764
43067 Ginestar;Total;2019;753
43067 Ginestar;Total;2018;762
43067 Ginestar;Total;2017;777
43067 Ginestar;Total;2016;778
43067 Ginestar;Total;2015;802
43068 Godall;Total;2022;609
43068 Godall;Total;2021;614
43068 Godall;Total;2020;598
43068 Godall;Total;2019;575
43068 Godall;Total;2018;591
43068 Godall;Total;2017;608
43068 Godall;Total;2016;631
43068 Godall;Total;2015;632
43069 Gratallops;Total;2022;236
43069 Gratallops;Total;2021;237
43069 Gratallops;Total;2020;237
43069 Gratallops;Total;2019;229
43069 Gratallops;Total;2018;226
43069 Gratallops;Total;2017;237
43069 Gratallops;Total;2016;237
43069 Gratallops;Total;2015;243
43070 Guiamets, Els;Total;2022;279
43070 Guiamets, Els;Total;2021;276
43070 Guiamets, Els;Total;2020;278
43070 Guiamets, Els;Total;2019;270
43070 Guiamets, Els;Total;2018;270
43070 Guiamets, Els;Total;2017;272
43070 Guiamets, Els;Total;2016;273
43070 Guiamets, Els;Total;2015;277
43071 Horta de Sant Joan;Total;2022;1.154
43071 Horta de Sant Joan;Total;2021;1.138
43071 Horta de Sant Joan;Total;2020;1.146
43071 Horta de Sant Joan;Total;2019;1.149
43071 Horta de Sant Joan;Total;2018;1.146
43071 Horta de Sant Joan;Total;2017;1.171
43071 Horta de Sant Joan;Total;2016;1.189
43071 Horta de Sant Joan;Total;2015;1.217
43072 Lloar, El;Total;2022;104
43072 Lloar, El;Total;2021;111
43072 Lloar, El;Total;2020;105
43072 Lloar, El;Total;2019;107
43072 Lloar, El;Total;2018;118
43072 Lloar, El;Total;2017;117
43072 Lloar, El;Total;2016;123
43072 Lloar, El;Total;2015;121
43073 Llorac;Total;2022;96
43073 Llorac;Total;2021;92
43073 Llorac;Total;2020;91
43073 Llorac;Total;2019;100
43073 Llorac;Total;2018;100
43073 Llorac;Total;2017;93
43073 Llorac;Total;2016;96
43073 Llorac;Total;2015;111
43074 Llorenç del Penedès;Total;2022;2.393
43074 Llorenç del Penedès;Total;2021;2.381
43074 Llorenç del Penedès;Total;2020;2.395
43074 Llorenç del Penedès;Total;2019;2.393
43074 Llorenç del Penedès;Total;2018;2.327
43074 Llorenç del Penedès;Total;2017;2.302
43074 Llorenç del Penedès;Total;2016;2.323
43074 Llorenç del Penedès;Total;2015;2.323
43076 Marçà;Total;2022;593
43076 Marçà;Total;2021;612
43076 Marçà;Total;2020;600
