Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
43038 Cambrils;;;Renta neta media por hogar;2020;32.074
43038 Cambrils;;;Renta neta media por hogar;2019;32.495
43038 Cambrils;;;Renta neta media por hogar;2018;31.598
43038 Cambrils;;;Renta neta media por hogar;2017;30.610
43038 Cambrils;;;Renta neta media por hogar;2016;29.625
43038 Cambrils;;;Renta neta media por hogar;2015;28.876
43039 Capafonts;;;Renta neta media por hogar;2020;27.936
43039 Capafonts;;;Renta neta media por hogar;2019;25.069
43039 Capafonts;;;Renta neta media por hogar;2018;25.353
43039 Capafonts;;;Renta neta media por hogar;2017;.
43039 Capafonts;;;Renta neta media por hogar;2016;22.302
43039 Capafonts;;;Renta neta media por hogar;2015;22.944
43040 Capçanes;;;Renta neta media por hogar;2020;31.092
43040 Capçanes;;;Renta neta media por hogar;2019;30.071
43040 Capçanes;;;Renta neta media por hogar;2018;30.748
43040 Capçanes;;;Renta neta media por hogar;2017;31.250
43040 Capçanes;;;Renta neta media por hogar;2016;31.202
43040 Capçanes;;;Renta neta media por hogar;2015;29.939
43041 Caseres;;;Renta neta media por hogar;2020;26.795
43041 Caseres;;;Renta neta media por hogar;2019;25.974
43041 Caseres;;;Renta neta media por hogar;2018;26.783
43041 Caseres;;;Renta neta media por hogar;2017;21.005
43041 Caseres;;;Renta neta media por hogar;2016;20.353
43041 Caseres;;;Renta neta media por hogar;2015;21.108
43042 Castellvell del Camp;;;Renta neta media por hogar;2020;49.903
43042 Castellvell del Camp;;;Renta neta media por hogar;2019;49.701
43042 Castellvell del Camp;;;Renta neta media por hogar;2018;47.826
43042 Castellvell del Camp;;;Renta neta media por hogar;2017;45.620
43042 Castellvell del Camp;;;Renta neta media por hogar;2016;46.398
43042 Castellvell del Camp;;;Renta neta media por hogar;2015;43.920
43043 Catllar, El;;;Renta neta media por hogar;2020;40.514
43043 Catllar, El;;;Renta neta media por hogar;2019;40.934
43043 Catllar, El;;;Renta neta media por hogar;2018;39.313
43043 Catllar, El;;;Renta neta media por hogar;2017;37.568
43043 Catllar, El;;;Renta neta media por hogar;2016;36.368
43043 Catllar, El;;;Renta neta media por hogar;2015;35.329
43044 Sénia, La;;;Renta neta media por hogar;2020;27.396
43044 Sénia, La;;;Renta neta media por hogar;2019;26.210
43044 Sénia, La;;;Renta neta media por hogar;2018;24.935
43044 Sénia, La;;;Renta neta media por hogar;2017;23.961
43044 Sénia, La;;;Renta neta media por hogar;2016;23.421
43044 Sénia, La;;;Renta neta media por hogar;2015;22.771
43045 Colldejou;;;Renta neta media por hogar;2020;30.368
43045 Colldejou;;;Renta neta media por hogar;2019;29.361
43045 Colldejou;;;Renta neta media por hogar;2018;29.894
43045 Colldejou;;;Renta neta media por hogar;2017;27.893
43045 Colldejou;;;Renta neta media por hogar;2016;26.192
43045 Colldejou;;;Renta neta media por hogar;2015;26.176
43046 Conesa;;;Renta neta media por hogar;2020;31.321
43046 Conesa;;;Renta neta media por hogar;2019;.
43046 Conesa;;;Renta neta media por hogar;2018;33.180
43046 Conesa;;;Renta neta media por hogar;2017;31.471
43046 Conesa;;;Renta neta media por hogar;2016;31.852
43046 Conesa;;;Renta neta media por hogar;2015;29.449
43047 Constantí;;;Renta neta media por hogar;2020;29.087
43047 Constantí;;;Renta neta media por hogar;2019;29.128
43047 Constantí;;;Renta neta media por hogar;2018;28.221
43047 Constantí;;;Renta neta media por hogar;2017;26.812
43047 Constantí;;;Renta neta media por hogar;2016;26.103
43047 Constantí;;;Renta neta media por hogar;2015;25.362
43048 Corbera d'Ebre;;;Renta neta media por hogar;2020;29.221
43048 Corbera d'Ebre;;;Renta neta media por hogar;2019;29.790
43048 Corbera d'Ebre;;;Renta neta media por hogar;2018;28.792
43048 Corbera d'Ebre;;;Renta neta media por hogar;2017;27.579
43048 Corbera d'Ebre;;;Renta neta media por hogar;2016;27.306
43048 Corbera d'Ebre;;;Renta neta media por hogar;2015;26.073
43049 Cornudella de Montsant;;;Renta neta media por hogar;2020;27.724
43049 Cornudella de Montsant;;;Renta neta media por hogar;2019;26.682
43049 Cornudella de Montsant;;;Renta neta media por hogar;2018;24.802
43049 Cornudella de Montsant;;;Renta neta media por hogar;2017;24.022
43049 Cornudella de Montsant;;;Renta neta media por hogar;2016;23.230
43049 Cornudella de Montsant;;;Renta neta media por hogar;2015;22.800
43050 Creixell;;;Renta neta media por hogar;2020;29.715
43050 Creixell;;;Renta neta media por hogar;2019;29.495
43050 Creixell;;;Renta neta media por hogar;2018;27.600
43050 Creixell;;;Renta neta media por hogar;2017;27.175
43050 Creixell;;;Renta neta media por hogar;2016;26.737
43050 Creixell;;;Renta neta media por hogar;2015;26.322
43051 Cunit;;;Renta neta media por hogar;2020;29.196
43051 Cunit;;;Renta neta media por hogar;2019;28.457
43051 Cunit;;;Renta neta media por hogar;2018;27.951
43051 Cunit;;;Renta neta media por hogar;2017;26.506
43051 Cunit;;;Renta neta media por hogar;2016;25.888
43051 Cunit;;;Renta neta media por hogar;2015;25.575
43052 Xerta;;;Renta neta media por hogar;2020;28.129
43052 Xerta;;;Renta neta media por hogar;2019;27.482
43052 Xerta;;;Renta neta media por hogar;2018;26.740
43052 Xerta;;;Renta neta media por hogar;2017;27.408
43052 Xerta;;;Renta neta media por hogar;2016;26.547
43052 Xerta;;;Renta neta media por hogar;2015;25.541
43053 Duesaigües;;;Renta neta media por hogar;2020;28.604
43053 Duesaigües;;;Renta neta media por hogar;2019;27.477
43053 Duesaigües;;;Renta neta media por hogar;2018;26.058
43053 Duesaigües;;;Renta neta media por hogar;2017;25.423
43053 Duesaigües;;;Renta neta media por hogar;2016;27.005
43053 Duesaigües;;;Renta neta media por hogar;2015;26.225
43054 Espluga de Francolí, L';;;Renta neta media por hogar;2020;32.524
43054 Espluga de Francolí, L';;;Renta neta media por hogar;2019;32.656
43054 Espluga de Francolí, L';;;Renta neta media por hogar;2018;31.284
43054 Espluga de Francolí, L';;;Renta neta media por hogar;2017;30.756
43054 Espluga de Francolí, L';;;Renta neta media por hogar;2016;29.886
43054 Espluga de Francolí, L';;;Renta neta media por hogar;2015;28.842
43055 Falset;;;Renta neta media por hogar;2020;33.331
43055 Falset;;;Renta neta media por hogar;2019;33.246
43055 Falset;;;Renta neta media por hogar;2018;32.390
43055 Falset;;;Renta neta media por hogar;2017;30.524
43055 Falset;;;Renta neta media por hogar;2016;30.452
43055 Falset;;;Renta neta media por hogar;2015;29.172
43056 Fatarella, La;;;Renta neta media por hogar;2020;29.689
43056 Fatarella, La;;;Renta neta media por hogar;2019;28.632
43056 Fatarella, La;;;Renta neta media por hogar;2018;29.355
43056 Fatarella, La;;;Renta neta media por hogar;2017;28.295
43056 Fatarella, La;;;Renta neta media por hogar;2016;27.187
43056 Fatarella, La;;;Renta neta media por hogar;2015;26.785
43057 Febró, La;;;Renta neta media por hogar;2020;32.591
43057 Febró, La;;;Renta neta media por hogar;2019;.
43057 Febró, La;;;Renta neta media por hogar;2018;.
43057 Febró, La;;;Renta neta media por hogar;2017;.
43057 Febró, La;;;Renta neta media por hogar;2016;.
43057 Febró, La;;;Renta neta media por hogar;2015;.
43058 Figuera, La;;;Renta neta media por hogar;2020;24.813
43058 Figuera, La;;;Renta neta media por hogar;2019;23.065
43058 Figuera, La;;;Renta neta media por hogar;2018;23.972
43058 Figuera, La;;;Renta neta media por hogar;2017;21.120
43058 Figuera, La;;;Renta neta media por hogar;2016;22.310
43058 Figuera, La;;;Renta neta media por hogar;2015;23.041
43059 Figuerola del Camp;;;Renta neta media por hogar;2020;36.010
43059 Figuerola del Camp;;;Renta neta media por hogar;2019;34.672
43059 Figuerola del Camp;;;Renta neta media por hogar;2018;31.345
43059 Figuerola del Camp;;;Renta neta media por hogar;2017;30.365
43059 Figuerola del Camp;;;Renta neta media por hogar;2016;29.698
43059 Figuerola del Camp;;;Renta neta media por hogar;2015;38.974
43060 Flix;;;Renta neta media por hogar;2020;34.865
43060 Flix;;;Renta neta media por hogar;2019;34.814
43060 Flix;;;Renta neta media por hogar;2018;34.568
43060 Flix;;;Renta neta media por hogar;2017;34.019
43060 Flix;;;Renta neta media por hogar;2016;31.591
43060 Flix;;;Renta neta media por hogar;2015;31.598
43061 Forès;;;Renta neta media por hogar;2020;32.591
43061 Forès;;;Renta neta media por hogar;2019;.
43061 Forès;;;Renta neta media por hogar;2018;.
