Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
17035 Camós;;;Renta neta media por hogar;2020;45.107
17035 Camós;;;Renta neta media por hogar;2019;43.713
17035 Camós;;;Renta neta media por hogar;2018;44.315
17035 Camós;;;Renta neta media por hogar;2017;41.357
17035 Camós;;;Renta neta media por hogar;2016;41.301
17035 Camós;;;Renta neta media por hogar;2015;38.873
17036 Campdevànol;;;Renta neta media por hogar;2020;35.488
17036 Campdevànol;;;Renta neta media por hogar;2019;35.539
17036 Campdevànol;;;Renta neta media por hogar;2018;34.151
17036 Campdevànol;;;Renta neta media por hogar;2017;33.283
17036 Campdevànol;;;Renta neta media por hogar;2016;32.487
17036 Campdevànol;;;Renta neta media por hogar;2015;31.902
17037 Campelles;;;Renta neta media por hogar;2020;35.943
17037 Campelles;;;Renta neta media por hogar;2019;41.726
17037 Campelles;;;Renta neta media por hogar;2018;36.542
17037 Campelles;;;Renta neta media por hogar;2017;32.761
17037 Campelles;;;Renta neta media por hogar;2016;34.017
17037 Campelles;;;Renta neta media por hogar;2015;31.856
17038 Campllong;;;Renta neta media por hogar;2020;51.026
17038 Campllong;;;Renta neta media por hogar;2019;49.529
17038 Campllong;;;Renta neta media por hogar;2018;47.796
17038 Campllong;;;Renta neta media por hogar;2017;46.869
17038 Campllong;;;Renta neta media por hogar;2016;44.553
17038 Campllong;;;Renta neta media por hogar;2015;43.851
17039 Camprodon;;;Renta neta media por hogar;2020;35.493
17039 Camprodon;;;Renta neta media por hogar;2019;34.364
17039 Camprodon;;;Renta neta media por hogar;2018;33.867
17039 Camprodon;;;Renta neta media por hogar;2017;34.584
17039 Camprodon;;;Renta neta media por hogar;2016;31.602
17039 Camprodon;;;Renta neta media por hogar;2015;30.172
17040 Canet d'Adri;;;Renta neta media por hogar;2020;52.933
17040 Canet d'Adri;;;Renta neta media por hogar;2019;50.331
17040 Canet d'Adri;;;Renta neta media por hogar;2018;46.828
17040 Canet d'Adri;;;Renta neta media por hogar;2017;45.647
17040 Canet d'Adri;;;Renta neta media por hogar;2016;45.613
17040 Canet d'Adri;;;Renta neta media por hogar;2015;44.069
17041 Cantallops;;;Renta neta media por hogar;2020;31.870
17041 Cantallops;;;Renta neta media por hogar;2019;32.123
17041 Cantallops;;;Renta neta media por hogar;2018;29.466
17041 Cantallops;;;Renta neta media por hogar;2017;30.320
17041 Cantallops;;;Renta neta media por hogar;2016;29.698
17041 Cantallops;;;Renta neta media por hogar;2015;27.970
17042 Capmany;;;Renta neta media por hogar;2020;34.035
17042 Capmany;;;Renta neta media por hogar;2019;31.119
17042 Capmany;;;Renta neta media por hogar;2018;31.579
17042 Capmany;;;Renta neta media por hogar;2017;39.360
17042 Capmany;;;Renta neta media por hogar;2016;30.748
17042 Capmany;;;Renta neta media por hogar;2015;28.539
17043 Queralbs;;;Renta neta media por hogar;2020;32.281
17043 Queralbs;;;Renta neta media por hogar;2019;34.060
17043 Queralbs;;;Renta neta media por hogar;2018;33.030
17043 Queralbs;;;Renta neta media por hogar;2017;32.234
17043 Queralbs;;;Renta neta media por hogar;2016;30.385
17043 Queralbs;;;Renta neta media por hogar;2015;30.437
17044 Cassà de la Selva;;;Renta neta media por hogar;2020;37.535
17044 Cassà de la Selva;;;Renta neta media por hogar;2019;37.008
17044 Cassà de la Selva;;;Renta neta media por hogar;2018;35.346
17044 Cassà de la Selva;;;Renta neta media por hogar;2017;33.768
17044 Cassà de la Selva;;;Renta neta media por hogar;2016;32.862
17044 Cassà de la Selva;;;Renta neta media por hogar;2015;31.631
17046 Castellfollit de la Roca;;;Renta neta media por hogar;2020;32.558
17046 Castellfollit de la Roca;;;Renta neta media por hogar;2019;31.747
17046 Castellfollit de la Roca;;;Renta neta media por hogar;2018;31.272
17046 Castellfollit de la Roca;;;Renta neta media por hogar;2017;29.451
17046 Castellfollit de la Roca;;;Renta neta media por hogar;2016;29.150
17046 Castellfollit de la Roca;;;Renta neta media por hogar;2015;28.403
17047 Castelló d'Empúries;;;Renta neta media por hogar;2020;26.365
17047 Castelló d'Empúries;;;Renta neta media por hogar;2019;26.894
17047 Castelló d'Empúries;;;Renta neta media por hogar;2018;25.465
17047 Castelló d'Empúries;;;Renta neta media por hogar;2017;24.638
17047 Castelló d'Empúries;;;Renta neta media por hogar;2016;23.849
17047 Castelló d'Empúries;;;Renta neta media por hogar;2015;22.689
17048 Castell-Platja d'Aro;;;Renta neta media por hogar;2020;30.260
17048 Castell-Platja d'Aro;;;Renta neta media por hogar;2019;30.207
17048 Castell-Platja d'Aro;;;Renta neta media por hogar;2018;29.090
17048 Castell-Platja d'Aro;;;Renta neta media por hogar;2017;27.648
17048 Castell-Platja d'Aro;;;Renta neta media por hogar;2016;26.555
17048 Castell-Platja d'Aro;;;Renta neta media por hogar;2015;25.609
17049 Celrà;;;Renta neta media por hogar;2020;41.919
17049 Celrà;;;Renta neta media por hogar;2019;41.835
17049 Celrà;;;Renta neta media por hogar;2018;39.122
17049 Celrà;;;Renta neta media por hogar;2017;38.505
17049 Celrà;;;Renta neta media por hogar;2016;37.034
17049 Celrà;;;Renta neta media por hogar;2015;36.564
17050 Cervià de Ter;;;Renta neta media por hogar;2020;44.300
17050 Cervià de Ter;;;Renta neta media por hogar;2019;43.614
17050 Cervià de Ter;;;Renta neta media por hogar;2018;39.879
17050 Cervià de Ter;;;Renta neta media por hogar;2017;40.009
17050 Cervià de Ter;;;Renta neta media por hogar;2016;38.781
17050 Cervià de Ter;;;Renta neta media por hogar;2015;35.792
17051 Cistella;;;Renta neta media por hogar;2020;33.594
17051 Cistella;;;Renta neta media por hogar;2019;35.916
17051 Cistella;;;Renta neta media por hogar;2018;34.567
17051 Cistella;;;Renta neta media por hogar;2017;32.969
17051 Cistella;;;Renta neta media por hogar;2016;31.316
17051 Cistella;;;Renta neta media por hogar;2015;29.523
17052 Siurana;;;Renta neta media por hogar;2020;54.931
17052 Siurana;;;Renta neta media por hogar;2019;43.174
17052 Siurana;;;Renta neta media por hogar;2018;41.646
17052 Siurana;;;Renta neta media por hogar;2017;38.416
17052 Siurana;;;Renta neta media por hogar;2016;35.996
17052 Siurana;;;Renta neta media por hogar;2015;32.839
17054 Colera;;;Renta neta media por hogar;2020;32.135
17054 Colera;;;Renta neta media por hogar;2019;33.284
17054 Colera;;;Renta neta media por hogar;2018;31.175
17054 Colera;;;Renta neta media por hogar;2017;29.951
17054 Colera;;;Renta neta media por hogar;2016;28.270
17054 Colera;;;Renta neta media por hogar;2015;27.893
17055 Colomers;;;Renta neta media por hogar;2020;38.308
17055 Colomers;;;Renta neta media por hogar;2019;32.589
17055 Colomers;;;Renta neta media por hogar;2018;35.085
17055 Colomers;;;Renta neta media por hogar;2017;31.972
17055 Colomers;;;Renta neta media por hogar;2016;31.656
17055 Colomers;;;Renta neta media por hogar;2015;31.327
17056 Cornellà del Terri;;;Renta neta media por hogar;2020;42.941
17056 Cornellà del Terri;;;Renta neta media por hogar;2019;43.077
17056 Cornellà del Terri;;;Renta neta media por hogar;2018;40.569
17056 Cornellà del Terri;;;Renta neta media por hogar;2017;39.033
17056 Cornellà del Terri;;;Renta neta media por hogar;2016;39.050
17056 Cornellà del Terri;;;Renta neta media por hogar;2015;37.909
17057 Corçà;;;Renta neta media por hogar;2020;38.154
17057 Corçà;;;Renta neta media por hogar;2019;40.228
17057 Corçà;;;Renta neta media por hogar;2018;38.122
17057 Corçà;;;Renta neta media por hogar;2017;34.598
17057 Corçà;;;Renta neta media por hogar;2016;32.968
17057 Corçà;;;Renta neta media por hogar;2015;31.675
17058 Crespià;;;Renta neta media por hogar;2020;35.388
17058 Crespià;;;Renta neta media por hogar;2019;32.590
17058 Crespià;;;Renta neta media por hogar;2018;27.816
17058 Crespià;;;Renta neta media por hogar;2017;27.467
17058 Crespià;;;Renta neta media por hogar;2016;27.416
17058 Crespià;;;Renta neta media por hogar;2015;27.854
17060 Darnius;;;Renta neta media por hogar;2020;30.217
17060 Darnius;;;Renta neta media por hogar;2019;29.951
17060 Darnius;;;Renta neta media por hogar;2018;27.975
17060 Darnius;;;Renta neta media por hogar;2017;26.239
17060 Darnius;;;Renta neta media por hogar;2016;25.287
17060 Darnius;;;Renta neta media por hogar;2015;26.442
17061 Das;;;Renta neta media por hogar;2020;58.029
17061 Das;;;Renta neta media por hogar;2019;51.196
17061 Das;;;Renta neta media por hogar;2018;46.704
17061 Das;;;Renta neta media por hogar;2017;43.693
17061 Das;;;Renta neta media por hogar;2016;42.807
17061 Das;;;Renta neta media por hogar;2015;37.969
17062 Escala, L';;;Renta neta media por hogar;2020;30.716
17062 Escala, L';;;Renta neta media por hogar;2019;31.182
17062 Escala, L';;;Renta neta media por hogar;2018;31.348
17062 Escala, L';;;Renta neta media por hogar;2017;30.249
17062 Escala, L';;;Renta neta media por hogar;2016;26.564
17062 Escala, L';;;Renta neta media por hogar;2015;25.600
17063 Espinelves;;;Renta neta media por hogar;2020;38.894
17063 Espinelves;;;Renta neta media por hogar;2019;36.619
17063 Espinelves;;;Renta neta media por hogar;2018;34.697
17063 Espinelves;;;Renta neta media por hogar;2017;37.500
17063 Espinelves;;;Renta neta media por hogar;2016;33.843
17063 Espinelves;;;Renta neta media por hogar;2015;32.154
17064 Espolla;;;Renta neta media por hogar;2020;33.655
17064 Espolla;;;Renta neta media por hogar;2019;35.684
17064 Espolla;;;Renta neta media por hogar;2018;33.570
17064 Espolla;;;Renta neta media por hogar;2017;32.683
17064 Espolla;;;Renta neta media por hogar;2016;32.087
17064 Espolla;;;Renta neta media por hogar;2015;31.842
17065 Esponellà;;;Renta neta media por hogar;2020;47.309
17065 Esponellà;;;Renta neta media por hogar;2019;46.226
17065 Esponellà;;;Renta neta media por hogar;2018;44.070
17065 Esponellà;;;Renta neta media por hogar;2017;44.017
17065 Esponellà;;;Renta neta media por hogar;2016;40.407
17065 Esponellà;;;Renta neta media por hogar;2015;38.318
17066 Figueres;;;Renta neta media por hogar;2020;29.428
17066 Figueres;;;Renta neta media por hogar;2019;30.181
17066 Figueres;;;Renta neta media por hogar;2018;29.164
17066 Figueres;;;Renta neta media por hogar;2017;27.583
17066 Figueres;;;Renta neta media por hogar;2016;26.989
17066 Figueres;;;Renta neta media por hogar;2015;26.108
17067 Flaçà;;;Renta neta media por hogar;2020;35.830
17067 Flaçà;;;Renta neta media por hogar;2019;35.732
17067 Flaçà;;;Renta neta media por hogar;2018;34.409
17067 Flaçà;;;Renta neta media por hogar;2017;33.145
17067 Flaçà;;;Renta neta media por hogar;2016;32.397
17067 Flaçà;;;Renta neta media por hogar;2015;30.675
17068 Foixà;;;Renta neta media por hogar;2020;43.291
