Municipios;Sexo;Periodo;Total
17076 Garrigoles;Total;2018;175
17076 Garrigoles;Total;2017;172
17076 Garrigoles;Total;2016;163
17076 Garrigoles;Total;2015;160
17077 Garriguella;Total;2022;922
17077 Garriguella;Total;2021;909
17077 Garriguella;Total;2020;853
17077 Garriguella;Total;2019;855
17077 Garriguella;Total;2018;840
17077 Garriguella;Total;2017;851
17077 Garriguella;Total;2016;854
17077 Garriguella;Total;2015;842
17078 Ger;Total;2022;512
17078 Ger;Total;2021;502
17078 Ger;Total;2020;449
17078 Ger;Total;2019;448
17078 Ger;Total;2018;429
17078 Ger;Total;2017;423
17078 Ger;Total;2016;436
17078 Ger;Total;2015;430
17079 Girona;Total;2022;102.666
17079 Girona;Total;2021;101.932
17079 Girona;Total;2020;103.369
17079 Girona;Total;2019;101.852
17079 Girona;Total;2018;100.266
17079 Girona;Total;2017;99.013
17079 Girona;Total;2016;98.255
17079 Girona;Total;2015;97.586
17080 Gombrèn;Total;2022;200
17080 Gombrèn;Total;2021;196
17080 Gombrèn;Total;2020;192
17080 Gombrèn;Total;2019;188
17080 Gombrèn;Total;2018;186
17080 Gombrèn;Total;2017;185
17080 Gombrèn;Total;2016;184
17080 Gombrèn;Total;2015;185
17081 Gualta;Total;2022;439
17081 Gualta;Total;2021;421
17081 Gualta;Total;2020;402
17081 Gualta;Total;2019;397
17081 Gualta;Total;2018;392
17081 Gualta;Total;2017;392
17081 Gualta;Total;2016;376
17081 Gualta;Total;2015;368
17082 Guils de Cerdanya;Total;2022;573
17082 Guils de Cerdanya;Total;2021;588
17082 Guils de Cerdanya;Total;2020;549
17082 Guils de Cerdanya;Total;2019;537
17082 Guils de Cerdanya;Total;2018;529
17082 Guils de Cerdanya;Total;2017;525
17082 Guils de Cerdanya;Total;2016;531
17082 Guils de Cerdanya;Total;2015;523
17083 Hostalric;Total;2022;4.370
17083 Hostalric;Total;2021;4.332
17083 Hostalric;Total;2020;4.291
17083 Hostalric;Total;2019;4.221
17083 Hostalric;Total;2018;4.139
17083 Hostalric;Total;2017;4.106
17083 Hostalric;Total;2016;4.058
17083 Hostalric;Total;2015;4.005
17084 Isòvol;Total;2022;318
17084 Isòvol;Total;2021;314
17084 Isòvol;Total;2020;281
17084 Isòvol;Total;2019;281
17084 Isòvol;Total;2018;278
17084 Isòvol;Total;2017;270
17084 Isòvol;Total;2016;276
17084 Isòvol;Total;2015;281
17085 Jafre;Total;2022;386
17085 Jafre;Total;2021;382
17085 Jafre;Total;2020;387
17085 Jafre;Total;2019;380
17085 Jafre;Total;2018;390
17085 Jafre;Total;2017;393
17085 Jafre;Total;2016;386
17085 Jafre;Total;2015;387
17086 Jonquera, La;Total;2022;3.317
17086 Jonquera, La;Total;2021;3.340
17086 Jonquera, La;Total;2020;3.320
17086 Jonquera, La;Total;2019;3.290
17086 Jonquera, La;Total;2018;3.233
17086 Jonquera, La;Total;2017;3.157
17086 Jonquera, La;Total;2016;3.231
17086 Jonquera, La;Total;2015;3.220
17087 Juià;Total;2022;334
17087 Juià;Total;2021;327
17087 Juià;Total;2020;319
17087 Juià;Total;2019;323
17087 Juià;Total;2018;335
17087 Juià;Total;2017;334
17087 Juià;Total;2016;327
17087 Juià;Total;2015;338
17088 Lladó;Total;2022;827
17088 Lladó;Total;2021;845
17088 Lladó;Total;2020;844
17088 Lladó;Total;2019;818
17088 Lladó;Total;2018;787
17088 Lladó;Total;2017;773
17088 Lladó;Total;2016;752
17088 Lladó;Total;2015;767
17089 Llagostera;Total;2022;9.024
17089 Llagostera;Total;2021;8.851
