Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
25038 Aitona;;;Renta neta media por hogar;2020;30.732
25038 Aitona;;;Renta neta media por hogar;2019;30.562
25038 Aitona;;;Renta neta media por hogar;2018;29.562
25038 Aitona;;;Renta neta media por hogar;2017;26.896
25038 Aitona;;;Renta neta media por hogar;2016;27.613
25038 Aitona;;;Renta neta media por hogar;2015;27.564
25039 Baix Pallars;;;Renta neta media por hogar;2020;31.770
25039 Baix Pallars;;;Renta neta media por hogar;2019;31.500
25039 Baix Pallars;;;Renta neta media por hogar;2018;31.524
25039 Baix Pallars;;;Renta neta media por hogar;2017;27.721
25039 Baix Pallars;;;Renta neta media por hogar;2016;28.866
25039 Baix Pallars;;;Renta neta media por hogar;2015;33.939
25040 Balaguer;;;Renta neta media por hogar;2020;30.565
25040 Balaguer;;;Renta neta media por hogar;2019;30.122
25040 Balaguer;;;Renta neta media por hogar;2018;28.663
25040 Balaguer;;;Renta neta media por hogar;2017;29.459
25040 Balaguer;;;Renta neta media por hogar;2016;26.785
25040 Balaguer;;;Renta neta media por hogar;2015;25.960
25041 Barbens;;;Renta neta media por hogar;2020;32.695
25041 Barbens;;;Renta neta media por hogar;2019;31.624
25041 Barbens;;;Renta neta media por hogar;2018;30.656
25041 Barbens;;;Renta neta media por hogar;2017;28.465
25041 Barbens;;;Renta neta media por hogar;2016;28.790
25041 Barbens;;;Renta neta media por hogar;2015;29.146
25042 Baronia de Rialb, La;;;Renta neta media por hogar;2020;40.156
25042 Baronia de Rialb, La;;;Renta neta media por hogar;2019;40.342
25042 Baronia de Rialb, La;;;Renta neta media por hogar;2018;27.726
25042 Baronia de Rialb, La;;;Renta neta media por hogar;2017;28.378
25042 Baronia de Rialb, La;;;Renta neta media por hogar;2016;24.891
25042 Baronia de Rialb, La;;;Renta neta media por hogar;2015;23.113
25043 Vall de Boí, La;;;Renta neta media por hogar;2020;32.798
25043 Vall de Boí, La;;;Renta neta media por hogar;2019;33.008
25043 Vall de Boí, La;;;Renta neta media por hogar;2018;30.896
25043 Vall de Boí, La;;;Renta neta media por hogar;2017;25.993
25043 Vall de Boí, La;;;Renta neta media por hogar;2016;25.774
25043 Vall de Boí, La;;;Renta neta media por hogar;2015;24.760
25044 Bassella;;;Renta neta media por hogar;2020;38.441
25044 Bassella;;;Renta neta media por hogar;2019;36.457
25044 Bassella;;;Renta neta media por hogar;2018;34.717
25044 Bassella;;;Renta neta media por hogar;2017;34.925
25044 Bassella;;;Renta neta media por hogar;2016;31.058
25044 Bassella;;;Renta neta media por hogar;2015;31.250
25045 Bausen;;;Renta neta media por hogar;2020;35.146
25045 Bausen;;;Renta neta media por hogar;2019;.
25045 Bausen;;;Renta neta media por hogar;2018;.
25045 Bausen;;;Renta neta media por hogar;2017;.
